user_id,phone_number,imei_prefix,phone_model,timestamp,current_city,current_area,current_location_lat,current_location_lon,cell_tower_id,cell_tower_lat,cell_tower_lon,previous_city,previous_area,previous_location_lat,previous_location_lon,prev_cell_tower_id,prev_cell_tower_lat,prev_cell_tower_lon,last_sim_usage_timestamp,last_device_usage_timestamp,sim_change_flag,device_change_flag,time_since_last_sim_change,num_calls_last_24h,num_sms_last_24h,data_usage_last_24h,change_in_data_usage,login_attempts,num_failed_logins_last_24h,transaction_count,account_activity_flag,is_roaming,distance_change_km,change_in_cell_tower_id,risk_score,label,is_sim_swap,alert_type
DEMOUSER_6010,+94714908173,56947349,Huawei Nova 10,2026-01-29 13:58:15,Matara,Area_8,8.379241,80.952172,GAL_HI_4022,7.904377,81.241029,Galle,Area_6,7.085667,80.594306,KAN_KA_8483,8.95822,79.584948,2026-01-29 09:58:15,2026-01-26 18:58:15,1,0,36,55,42,6.08,0.71,20,6,18,0,1,321.75,0,86.91,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6011,+94764677099,24363909,Oppo Reno 8,2026-01-29 13:58:15,Jaffna,Area_14,5.977477,79.602488,BAD_BA_8856,7.976065,79.934044,Colombo,Area_1,7.673953,81.798731,KUR_NA_3082,9.561643,81.412472,2026-01-28 22:58:15,2026-01-27 17:58:15,1,1,29,75,30,4.47,5.08,21,12,1,1,1,223.28,1,61.29,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6012,+94729738756,22206109,Samsung Galaxy S22,2026-02-14 13:58:15,Jaffna,Area_3,8.558177,79.883375,KAN_AK_3907,9.427305,81.154301,Galle,Area_16,7.049435,80.779207,BAD_HA_4853,8.565336,81.067232,2026-02-13 10:58:15,2026-02-14 01:58:15,1,0,19,67,93,4.86,2.72,29,14,2,1,1,234.99,0,64.65,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6013,+94785048777,89044345,Xiaomi Redmi Note 11,2026-02-16 13:58:15,Batticaloa,Area_13,5.917313,80.737393,COL_KI_1274,8.249296,80.756863,Anuradhapura,Area_17,6.122019,80.659315,COL_DE_9085,8.974033,80.447636,2026-02-16 03:58:15,2026-02-13 16:58:15,0,0,40,18,39,1.26,2.85,5,3,12,1,1,21.35,0,25.52,0,0,NORMAL_BEHAVIOR
DEMOUSER_6014,+94762126836,94225733,iPhone 13,2026-02-16 13:58:15,Anuradhapura,Area_5,8.16885,81.217954,KUR_KU_4434,8.903881,80.597726,Colombo,Area_1,7.369317,81.765578,BAT_KA_9692,6.532486,81.361549,2026-02-14 21:58:15,2026-02-13 13:58:15,0,0,12,10,4,0.23,4.29,1,0,13,1,1,18.06,0,2.29,0,0,NORMAL_BEHAVIOR
DEMOUSER_6015,+94768718075,52291929,Vivo Y35,2026-01-28 13:58:15,Negombo,Area_19,7.483844,81.351822,JAF_NA_8015,8.511118,80.373971,Batticaloa,Area_12,9.825652,81.350927,BAT_ER_6413,8.569112,80.671208,2026-01-27 14:58:15,2026-01-28 07:58:15,0,0,26,3,20,1.55,1.04,4,3,5,0,1,30.15,0,24.93,0,0,NORMAL_BEHAVIOR
DEMOUSER_6016,+94753533566,62051676,Huawei Nova 10,2026-02-26 13:58:15,Matara,Area_1,6.865569,81.034075,BAT_OD_9034,6.788744,80.418002,Galle,Area_17,5.936554,79.701755,COL_MO_5806,8.859851,80.27122,2026-02-24 23:58:15,2026-02-24 20:58:15,0,0,36,4,22,1.44,1.34,8,1,2,1,0,1.48,0,13.95,0,0,NORMAL_BEHAVIOR
DEMOUSER_6017,+94788728976,97698434,Samsung Galaxy A54,2026-02-21 13:58:15,Kandy,Area_2,6.544862,80.516503,BAD_HA_8702,8.472471,80.94872,Jaffna,Area_3,8.709912,81.891276,KUR_NA_1138,8.56752,80.668174,2026-02-19 13:58:15,2026-02-20 20:58:15,1,1,42,30,120,3.67,2.35,10,15,18,1,1,216.72,1,66.62,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6018,+94708579809,38084834,iPhone 14,2026-02-11 13:58:15,Galle,Area_16,5.902446,80.504233,RAT_BA_3346,8.881208,80.281642,Matara,Area_7,6.053291,81.118571,BAT_ER_3307,8.382257,81.885749,2026-02-11 06:58:15,2026-02-08 18:58:15,1,1,32,20,96,6.23,0.54,18,5,2,0,0,415.03,0,81.45,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6019,+94783223777,69924691,Vivo Y35,2026-02-17 13:58:15,Negombo,Area_14,8.403269,81.117074,JAF_NA_4381,8.244142,80.054135,Colombo,Area_20,6.547616,81.777758,KUR_PA_5091,6.524569,79.67347,2026-02-16 17:58:15,2026-02-15 09:58:15,1,1,42,52,117,2.08,1.95,27,6,16,1,1,119.72,1,86.23,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6020,+94775656027,46038184,Vivo Y35,2026-02-23 13:58:15,Anuradhapura,Area_7,8.162087,80.846955,ANU_TA_1358,6.56281,80.671347,Galle,Area_8,7.794638,80.536137,KUR_PA_8017,9.677339,81.247216,2026-02-22 23:58:15,2026-02-20 16:58:15,1,1,2,29,66,5.86,0.09,14,9,6,1,0,110.23,1,69.22,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6021,+94762547559,52504366,Oppo Reno 8,2026-02-12 13:58:15,Anuradhapura,Area_6,6.075428,81.604133,BAT_KA_8722,6.328157,81.557579,Anuradhapura,Area_17,9.649992,81.319105,GAL_UN_6875,6.090705,81.243462,2026-02-12 06:58:15,2026-02-12 12:58:15,1,1,14,67,150,5.34,1.75,20,10,14,0,1,250.76,1,71.71,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6022,+94724704257,24469422,Samsung Galaxy A54,2026-02-24 13:58:15,Kandy,Area_5,8.585686,81.704974,KUR_NA_8916,6.233954,79.566351,Kandy,Area_13,7.649269,80.831765,BAT_KA_4299,7.489419,80.922581,2026-02-23 02:58:15,2026-02-22 10:58:15,1,0,15,30,101,7,-1.6,15,8,18,1,1,394.49,1,67.19,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6023,+94719870600,11301380,Vivo Y35,2026-02-03 13:58:15,Kandy,Area_11,9.235989,80.919493,BAT_ER_5949,7.865613,81.381905,Anuradhapura,Area_3,9.207197,80.007616,BAD_HA_5778,7.1631,80.417626,2026-02-02 06:58:15,2026-02-02 17:58:15,0,0,40,15,18,0.12,1.59,3,0,5,0,1,19.68,0,19.2,0,0,NORMAL_BEHAVIOR
DEMOUSER_6024,+94726354497,46618987,Vivo Y35,2026-02-01 13:58:15,Colombo,Area_6,9.664493,81.482047,JAF_NA_5939,9.102209,80.32224,Galle,Area_10,6.440372,81.707654,COL_WE_3712,7.260621,81.432181,2026-01-30 20:58:15,2026-01-31 06:58:15,1,0,38,20,136,2.2,4.71,17,7,9,1,0,405.78,0,63.26,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6025,+94729250988,32228231,iPhone 13,2026-02-03 13:58:15,Kurunegala,Area_13,7.518064,81.229985,KAN_PE_9897,8.224263,79.613925,Matara,Area_16,6.919705,80.467307,JAF_CH_9209,9.436248,80.341133,2026-02-02 05:58:15,2026-02-01 10:58:15,1,1,22,47,105,2.19,4.8,11,5,12,0,0,249.05,0,74.82,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6026,+94752365360,26565349,Xiaomi Redmi Note 11,2026-02-15 13:58:15,Negombo,Area_6,8.395654,81.636398,RAT_PE_9253,9.669996,80.282872,Negombo,Area_17,9.712286,81.686219,RAT_BA_1750,6.515513,80.532487,2026-02-14 07:58:15,2026-02-13 23:58:15,1,1,44,48,55,2.19,3.65,26,14,9,1,1,193.04,1,94.58,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6027,+94755445725,89995288,Xiaomi Poco X4,2026-02-08 13:58:15,Jaffna,Area_5,8.481016,80.897336,BAT_OD_6146,8.107743,81.688257,Matara,Area_19,9.832349,80.395306,COL_BA_1273,8.967009,80.814502,2026-02-07 02:58:15,2026-02-07 10:58:15,1,1,47,44,43,7.98,4.84,26,13,17,0,0,204.59,1,66.24,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6028,+94777499915,26584658,Oppo A78,2026-02-12 13:58:15,Anuradhapura,Area_12,9.30494,81.259643,BAT_ER_2275,6.120836,79.503067,Batticaloa,Area_5,8.235869,81.623973,ANU_MI_6974,8.742155,80.093132,2026-02-10 16:58:15,2026-02-10 20:58:15,0,0,39,6,33,0.59,-0.96,1,2,13,0,1,35.4,0,5.09,0,0,NORMAL_BEHAVIOR
DEMOUSER_6029,+94704474316,66843691,Xiaomi Poco X4,2026-02-10 13:58:15,Matara,Area_8,8.761141,81.861813,BAT_ER_6601,6.028775,81.53644,Kandy,Area_8,9.089685,80.280024,JAF_CH_6074,8.804276,80.224922,2026-02-10 12:58:15,2026-02-10 11:58:15,1,1,2,62,39,6.35,1.28,19,10,2,0,0,269.34,1,77.33,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6030,+94722094358,70495324,Xiaomi Poco X4,2026-02-15 13:58:15,Kandy,Area_17,6.997109,79.649746,GAL_AM_6531,6.297254,79.850267,Kandy,Area_7,6.823598,80.176069,JAF_NA_5939,8.162313,79.802042,2026-02-15 12:58:15,2026-02-15 11:58:15,0,0,11,9,16,0.14,5.54,7,3,11,1,1,26.6,0,22.62,0,0,NORMAL_BEHAVIOR
DEMOUSER_6031,+94706450687,43031371,iPhone 14,2026-02-08 13:58:15,Batticaloa,Area_6,8.009397,81.27111,RAT_PE_1432,6.870514,80.656846,Jaffna,Area_15,9.596282,79.572382,KAN_KA_7322,6.548673,80.318436,2026-02-07 09:58:15,2026-02-06 03:58:15,1,0,35,53,128,2.13,5.4,25,12,17,0,0,348.85,0,69.15,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6032,+94746929962,91033230,Samsung Galaxy S24,2026-02-07 13:58:15,Batticaloa,Area_2,9.087626,81.681044,RAT_PE_5979,7.768199,80.010225,Galle,Area_12,8.621656,80.368325,GAL_AM_3757,9.082434,80.897401,2026-02-05 16:58:15,2026-02-05 04:58:15,1,1,27,51,67,3.54,1.55,12,11,17,1,1,264.59,0,84.04,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6033,+94766104637,32545001,Huawei Nova 10,2026-02-24 13:58:15,Anuradhapura,Area_11,6.795999,79.814366,RAT_EM_2395,6.274553,81.527534,Jaffna,Area_12,9.875509,79.97049,BAT_KA_8285,8.827314,80.2285,2026-02-22 15:58:15,2026-02-22 09:58:15,1,0,19,50,86,6.55,2.44,20,9,6,1,1,273.84,0,89.79,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6034,+94754564125,34276140,Samsung Galaxy S24,2026-02-12 13:58:15,Negombo,Area_2,7.272753,81.101679,JAF_KO_6245,9.145956,81.211344,Negombo,Area_2,6.381309,79.89099,GAL_KA_4610,8.075183,80.422162,2026-02-11 17:58:15,2026-02-12 11:58:15,0,0,32,18,18,1.05,-0.69,7,2,8,1,1,17.57,0,13,0,0,NORMAL_BEHAVIOR
DEMOUSER_6035,+94762861943,36596650,Xiaomi Poco X4,2026-02-23 13:58:15,Colombo,Area_19,8.561766,79.800963,ANU_MI_6080,8.314996,81.81696,Kandy,Area_4,7.762151,81.101667,JAF_KO_9429,9.859214,80.753434,2026-02-22 10:58:15,2026-02-21 05:58:15,1,1,48,65,36,7.6,5.47,15,7,16,0,0,315.88,1,85.39,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6036,+94759862955,82868013,Xiaomi 13,2026-02-01 13:58:15,Anuradhapura,Area_20,8.766731,79.937127,GAL_UN_9068,6.887882,80.182532,Kurunegala,Area_6,9.57241,79.989804,COL_DE_1152,6.796569,80.601659,2026-01-31 12:58:15,2026-01-31 20:58:15,0,0,34,13,21,1.6,5.75,4,2,15,1,0,36.11,0,21.12,0,0,NORMAL_BEHAVIOR
DEMOUSER_6037,+94775602378,52764078,Huawei P50,2026-02-01 13:58:15,Kandy,Area_10,8.071002,79.505465,BAT_KA_8983,6.401058,79.765056,Galle,Area_14,7.252712,80.566271,ANU_TA_8250,8.301069,79.673324,2026-01-31 15:58:15,2026-01-31 19:58:15,0,0,7,19,21,1.26,-1.54,4,1,19,1,1,0.27,0,18.09,0,0,NORMAL_BEHAVIOR
DEMOUSER_6038,+94742346573,37465169,Samsung Galaxy S24,2026-01-29 13:58:15,Kurunegala,Area_20,8.025,79.545419,BAD_BA_1129,8.701425,79.543262,Kurunegala,Area_12,7.823236,80.624322,BAD_HA_8698,7.629641,79.675522,2026-01-27 22:58:15,2026-01-29 11:58:15,0,0,13,7,23,1.44,-1.62,2,3,12,0,0,11.54,0,3.22,0,0,NORMAL_BEHAVIOR
DEMOUSER_6039,+94708256141,29540103,Samsung Galaxy S22,2026-02-10 13:58:15,Jaffna,Area_4,7.913679,80.513272,BAT_OD_9893,9.42467,81.826919,Jaffna,Area_19,7.13735,79.73919,JAF_KO_6245,6.13455,79.978086,2026-02-10 03:58:15,2026-02-09 13:58:15,0,0,39,11,34,1.09,1.67,8,1,5,0,1,3.08,0,5.17,0,0,NORMAL_BEHAVIOR
DEMOUSER_6040,+94721648085,73920844,Vivo Y35,2026-02-06 13:58:15,Kandy,Area_11,6.553206,81.275014,KUR_KU_3897,6.000063,80.076603,Colombo,Area_1,9.812428,81.749955,KUR_PA_3248,7.796916,80.769219,2026-02-05 10:58:15,2026-02-04 02:58:15,1,1,11,52,106,7.69,-0.22,16,6,15,1,0,404.38,1,82.04,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6041,+94772267408,94085765,Xiaomi 13,2026-02-13 13:58:15,Negombo,Area_13,7.952595,81.559959,BAD_HA_5778,7.596828,79.629603,Negombo,Area_9,9.013884,79.535711,ANU_MI_4181,6.272938,81.243581,2026-02-12 01:58:15,2026-02-10 20:58:15,0,0,20,1,34,1.34,0.7,1,2,1,1,1,39.45,0,11.46,0,0,NORMAL_BEHAVIOR
DEMOUSER_6042,+94784101858,50702457,Oppo A78,2026-02-20 13:58:15,Batticaloa,Area_17,6.076414,79.986171,RAT_BA_7527,7.087252,80.032278,Negombo,Area_1,9.680981,79.772946,KAN_AK_4916,9.493921,81.777617,2026-02-19 20:58:15,2026-02-18 10:58:15,0,0,15,13,6,0.23,4.25,3,2,2,0,0,14.95,0,25.26,0,0,NORMAL_BEHAVIOR
DEMOUSER_6043,+94751813834,65813348,iPhone 15 Pro,2026-02-13 13:58:15,Jaffna,Area_4,6.06161,79.506372,RAT_BA_3321,6.12986,81.017731,Anuradhapura,Area_14,6.251407,81.650182,GAL_HI_3412,6.280475,81.880448,2026-02-11 13:58:15,2026-02-11 18:58:15,1,0,20,42,109,7.38,4.78,23,10,13,0,1,262.57,0,73.74,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6044,+94769254182,30196045,iPhone 13,2026-01-28 13:58:15,Anuradhapura,Area_20,7.317945,80.199091,JAF_KO_6283,6.522363,81.094824,Kurunegala,Area_20,9.283075,81.39702,ANU_TA_1276,8.879816,80.531875,2026-01-27 04:58:15,2026-01-27 15:58:15,1,1,30,28,58,5.03,5.94,23,8,8,0,1,117.61,1,77.33,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6045,+94743955903,47854282,Oppo Reno 8,2026-02-07 13:58:15,Galle,Area_9,8.734733,80.872584,JAF_NA_1393,6.074059,81.164168,Colombo,Area_7,6.053824,80.943457,JAF_CH_7460,8.554873,80.437719,2026-02-06 00:58:15,2026-02-05 10:58:15,0,0,0,15,27,1.45,-0.84,4,3,20,0,1,25.9,0,19.59,0,0,NORMAL_BEHAVIOR
DEMOUSER_6046,+94729569219,69524888,Samsung Galaxy S24,2026-02-20 13:58:15,Galle,Area_13,8.350676,81.822944,BAT_OD_1698,6.760411,80.294893,Kandy,Area_12,7.194722,80.608867,ANU_MI_8323,6.001535,80.599193,2026-02-19 12:58:15,2026-02-18 11:58:15,1,1,6,58,146,2.55,0.46,23,15,7,1,0,488.76,1,76.93,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6047,+94701430231,80828124,Xiaomi Redmi Note 11,2026-02-20 13:58:15,Galle,Area_20,9.741261,80.395088,BAT_KA_5342,8.59711,79.564661,Jaffna,Area_14,9.213754,79.581496,BAD_HA_4739,6.06978,81.725607,2026-02-20 06:58:15,2026-02-18 11:58:15,1,0,3,69,59,3.96,4.41,20,9,2,1,0,168.58,0,85.92,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6048,+94704244264,85699473,Huawei Nova 10,2026-01-29 13:58:15,Negombo,Area_20,8.133132,80.756491,KAN_KA_4641,8.090475,80.77366,Negombo,Area_1,6.21988,80.472858,GAL_UN_2120,6.361589,80.513347,2026-01-27 16:58:15,2026-01-28 10:58:15,0,0,4,17,1,0.77,0.47,7,3,6,0,1,12.25,0,14.91,0,0,NORMAL_BEHAVIOR
DEMOUSER_6049,+94743012627,59573039,Huawei P50,2026-02-08 13:58:15,Colombo,Area_4,7.278091,81.026246,COL_KI_2000,7.433936,80.688334,Negombo,Area_12,8.249145,81.521847,KAN_KA_7716,8.506469,81.574015,2026-02-08 08:58:15,2026-02-06 18:58:15,1,0,2,33,58,4.11,0.51,28,9,11,1,1,323.08,0,92.58,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6050,+94749346506,23923789,Xiaomi Note 18,2026-02-17 13:58:15,Negombo,Area_15,8.071585,81.056849,BAT_OD_7884,8.20468,80.828001,Kurunegala,Area_9,8.394211,81.865707,ANU_KE_8296,6.101793,79.651133,2026-02-15 19:58:15,2026-02-16 10:58:15,1,1,8,45,114,6.67,-0.82,19,10,12,0,1,161.21,0,83.63,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6051,+94745910402,14579004,Xiaomi Note 18,2026-02-21 13:58:15,Matara,Area_16,7.803089,80.626193,RAT_PE_5979,6.512445,79.977757,Kurunegala,Area_8,6.286812,81.678322,RAT_PE_7624,9.793043,80.113986,2026-02-20 07:58:15,2026-02-21 04:58:15,0,0,27,7,3,1.02,-0.92,7,3,6,0,0,38.98,0,20.55,0,0,NORMAL_BEHAVIOR
DEMOUSER_6052,+94771384188,17369467,Xiaomi Note 18,2026-02-13 13:58:15,Kurunegala,Area_20,8.271047,81.628458,GAL_KA_5773,7.589538,79.985744,Jaffna,Area_19,7.621291,80.349273,BAD_BA_3325,8.623954,81.284067,2026-02-12 20:58:15,2026-02-10 21:58:15,1,0,25,31,82,2.75,4.16,17,6,13,0,1,135.82,0,68.67,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6053,+94749572794,13932924,Samsung Galaxy S24,2026-02-22 13:58:15,Negombo,Area_14,7.038965,80.424784,GAL_AM_3757,8.112749,80.1271,Galle,Area_15,7.844982,80.290248,JAF_PO_4842,9.270957,81.650916,2026-02-22 05:58:15,2026-02-21 14:58:15,1,1,41,76,37,6.81,4.96,11,14,13,0,1,161.71,0,65.88,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6054,+94768118113,16291215,Xiaomi Poco X4,2026-02-09 13:58:15,Matara,Area_9,7.789869,80.17354,KAN_PE_7201,8.24383,80.571564,Batticaloa,Area_20,8.140591,79.650039,ANU_TA_7198,8.998113,81.13128,2026-02-09 08:58:15,2026-02-07 21:58:15,0,0,21,1,13,0.11,-0.61,4,1,9,1,0,22.52,0,17.85,0,0,NORMAL_BEHAVIOR
DEMOUSER_6055,+94767117877,55811935,iPhone 15 Pro,2026-02-17 13:58:15,Galle,Area_12,7.027606,80.93821,RAT_PE_6363,7.106924,80.279349,Colombo,Area_12,8.767185,80.651142,KAN_AK_4341,7.141531,81.444194,2026-02-16 11:58:15,2026-02-16 13:58:15,0,0,10,10,3,0.44,-0.2,6,3,6,1,1,22.35,0,15.59,0,0,NORMAL_BEHAVIOR
DEMOUSER_6056,+94772503859,21492702,Samsung Galaxy S22,2026-02-10 13:58:15,Anuradhapura,Area_10,5.947567,79.917323,BAT_ER_9157,6.681186,80.621284,Kurunegala,Area_1,7.077828,80.756162,JAF_NA_8803,7.409619,81.468543,2026-02-08 15:58:15,2026-02-08 17:58:15,1,0,30,57,69,4.72,5.97,26,5,16,0,0,274.08,0,64.38,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6057,+94740369073,21547301,Oppo A78,2026-02-12 13:58:15,Batticaloa,Area_17,8.836795,79.561128,COL_MO_9579,7.217899,81.471571,Matara,Area_2,6.714475,79.827823,BAT_KA_1845,7.682906,80.738572,2026-02-10 22:58:15,2026-02-12 09:58:15,1,0,31,76,147,3.06,0.21,28,10,0,1,1,202.59,1,90.32,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6058,+94760151644,64917254,Huawei Nova 10,2026-02-24 13:58:15,Matara,Area_12,8.199548,80.762792,BAD_HA_3450,8.51963,80.077499,Kurunegala,Area_10,8.956043,80.747718,JAF_KO_8932,9.550004,79.58374,2026-02-24 04:58:15,2026-02-24 11:58:15,0,0,42,5,16,1,-0.4,8,0,18,0,1,15.08,0,26.27,0,0,NORMAL_BEHAVIOR
DEMOUSER_6059,+94744671121,34389086,iPhone 14,2026-02-05 13:58:15,Negombo,Area_9,8.946451,80.075598,RAT_BA_7527,7.536206,80.876811,Colombo,Area_7,8.349758,81.70575,KUR_KU_5519,5.998353,81.539429,2026-02-03 19:58:15,2026-02-05 12:58:15,1,1,14,66,110,7.98,5.96,22,8,12,0,1,454.5,1,82.39,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6060,+94754914782,73375848,iPhone 13,2026-02-16 13:58:15,Galle,Area_4,5.959944,80.713801,KAN_AK_9378,6.257491,80.401034,Galle,Area_5,9.627024,81.525537,BAD_BA_1129,6.417433,79.838807,2026-02-16 10:58:15,2026-02-15 15:58:15,1,0,38,34,146,3.19,4.66,25,8,5,0,0,289.75,0,88.54,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6061,+94700514615,57403706,Xiaomi 13,2026-01-29 13:58:15,Jaffna,Area_19,8.208856,81.631756,ANU_MI_7422,6.770881,79.747246,Jaffna,Area_15,5.937009,81.06236,GAL_AM_1174,9.334617,80.113712,2026-01-28 08:58:15,2026-01-27 22:58:15,1,1,26,47,84,3.87,5.83,30,12,1,1,1,406.11,0,80.58,1,1,HIGH_RISK_SIM_SWAP
DEMOUSER_6062,+94745739393,53795684,Xiaomi Note 18,2026-02-22 13:58:15,Galle,Area_20,7.350558,81.067611,BAT_OD_9034,7.213203,79.768838,Negombo,Area_12,6.007833,81.840445,KUR_PA_3813,5.902282,80.008915,2026-02-20 19:58:15,2026-02-21 16:58:15,1,0,37,73,135,3.58,-1.38,22,5,17,1,1,346.02,0,80.68,1,1,HIGH_RISK_SIM_SWAP
