user_id,phone_number,sim_swap_request_count_30d,days_since_last_sim_swap,device_change_flag,location_change_flag,failed_otp_attempts_24h,account_age_days,avg_monthly_call_duration,avg_monthly_data_usage_gb,num_unique_contacts_30d,recent_password_change_flag,fraud_report_flag,sim_swap_label
U20038,94701002038,0,280,0,0,0,420,210,4.8,14,0,0,0
U20039,94701002039,1,10,1,1,4,175,22,1.9,4,1,0,1
U20040,94701002040,0,1450,0,0,0,2600,980,50.1,135,0,0,0
U20041,94701002041,0,680,0,0,1,1200,470,14.6,38,0,0,0
U20042,94701002042,5,0,1,1,12,8,1,0.0,0,1,1,1
U20043,94701002043,0,950,0,0,0,1750,720,28.9,90,0,0,0
U20044,94701002044,0,400,0,0,0,730,280,7.1,19,0,0,0
U20045,94701002045,2,4,1,1,5,110,15,1.1,3,1,0,1
U20046,94701002046,0,1250,0,0,0,2400,820,36.4,108,0,0,0
U20047,94701002047,0,220,0,0,1,340,160,3.2,9,0,0,0
U20048,94701002048,3,2,1,1,8,45,8,0.4,2,0,1,1
U20049,94701002049,0,1550,0,0,0,3000,1120,58.7,155,0,0,0
U20050,94701002050,0,720,1,0,0,1350,500,17.2,42,0,0,0
U20051,94701002051,0,999,0,0,1,1950,710,29.5,85,0,0,0
U20052,94701002052,2,6,1,1,4,190,28,2.0,7,1,0,1
U20053,94701002053,0,480,0,0,0,910,350,10.4,26,0,0,0
U20054,94701002054,0,1350,0,0,0,2500,890,42.1,125,0,0,0
U20055,94701002055,4,1,1,1,10,14,2,0.1,1,1,1,1
U20056,94701002056,0,1050,0,0,0,2050,790,32.8,102,0,0,0
U20057,94701002057,0,350,0,1,1,640,260,6.9,21,0,0,0
U20058,94701002058,2,8,1,0,3,230,42,3.1,10,1,0,1
U20059,94701002059,0,1700,0,0,0,3100,1200,64.2,165,0,0,0
U20060,94701002060,0,580,0,0,0,1020,410,11.5,31,0,0,0
U20061,94701002061,3,2,1,1,7,55,10,0.6,2,0,1,1
U20062,94701002062,0,1200,0,0,0,2250,880,39.7,122,0,0,0
U20063,94701002063,0,290,0,0,1,480,195,4.5,13,0,0,0
U20064,94701002064,1,12,1,1,5,200,25,2.2,5,1,0,1
U20065,94701002065,0,1400,0,0,0,2750,1010,52.4,142,0,0,0
U20066,94701002066,0,760,0,0,0,1280,485,15.8,40,0,0,0
U20067,94701002067,5,0,1,1,11,10,1,0.0,0,1,1,1
U20068,94701002068,0,1000,0,0,1,1800,740,31.5,94,0,0,0
U20069,94701002069,0,450,0,0,0,820,320,8.2,23,0,0,0
U20070,94701002070,2,5,1,1,4,150,18,1.3,4,1,0,1
U20071,94701002071,0,1300,0,0,0,2450,860,37.6,114,0,0,0
U20072,94701002072,0,240,0,0,1,390,175,3.7,11,0,0,0
U20073,94701002073,3,3,1,1,8,60,12,0.5,2,0,1,1
U20074,94701002074,0,1600,0,0,0,3050,1150,60.2,160,0,0,0
U20075,94701002075,0,780,1,0,0,1400,530,18.4,46,0,0,0
U20076,94701002076,0,1050,0,0,1,2000,770,30.9,92,0,0,0
U20077,94701002077,2,7,1,1,5,220,35,2.4,8,1,0,1
U20078,94701002078,0,540,0,0,0,980,390,11.2,30,0,0,0
U20079,94701002079,0,1400,0,0,0,2600,930,44.5,130,0,0,0
U20080,94701002080,4,2,1,1,9,18,3,0.1,1,1,1,1
U20081,94701002081,0,1100,0,0,0,2100,820,34.1,110,0,0,0
U20082,94701002082,0,380,0,1,1,690,280,7.6,23,0,0,0
U20083,94701002083,2,9,1,0,4,250,48,3.5,12,1,0,1
U20084,94701002084,0,1750,0,0,0,3200,1250,67.8,175,0,0,0
U20085,94701002085,0,620,0,0,0,1080,440,12.4,34,0,0,0
U20086,94701002086,3,1,1,1,7,70,14,0.7,3,0,1,1
U20087,94701002087,0,1250,0,0,1,2300,910,41.2,127,0,0,0
U20088,94701002088,0,310,0,0,0,510,210,4.9,15,0,0,0
U20089,94701002089,1,14,1,1,5,225,28,2.5,6,1,0,1
U20090,94701002090,0,1450,0,0,0,2800,1040,54.6,148,0,0,0
U20091,94701002091,0,800,0,0,0,1320,510,16.7,43,0,0,0
U20092,94701002092,5,1,1,1,12,12,1,0.0,0,1,1,1
U20093,94701002093,0,1050,0,0,1,1850,760,33.1,98,0,0,0
U20094,94701002094,0,480,0,0,0,860,340,8.7,25,0,0,0
U20095,94701002095,2,4,1,1,4,165,21,1.5,5,1,0,1
U20096,94701002096,0,1350,0,0,0,2500,890,39.2,118,0,0,0
U20097,94701002097,0,260,0,0,1,420,190,4.0,12,0,0,0
U20098,94701002098,3,2,1,1,8,75,15,0.8,3,0,1,1
U20099,94701002099,0,1650,0,0,0,3100,1180,62.1,165,0,0,0
U20100,94701002100,0,750,1,0,0,1450,520,19.1,48,0,0,0
U20101,94701002101,0,999,0,0,0,1900,700,28.4,80,0,0,0
U20102,94701002102,2,5,1,1,5,180,30,2.1,6,1,0,1
U20103,94701002103,0,450,0,0,1,880,340,9.9,24,0,0,0
U20104,94701002104,0,1300,0,0,0,2450,880,41.2,120,0,0,0
U20105,94701002105,4,1,1,1,11,20,4,0.2,1,1,1,1
U20106,94701002106,0,1000,0,0,0,2000,780,31.4,100,0,0,0
U20107,94701002107,0,340,0,1,1,630,250,6.7,20,0,0,0
U20108,94701002108,2,7,1,0,4,220,40,2.9,9,1,0,1
U20109,94701002109,0,1650,0,0,0,3050,1150,62.5,155,0,0,0
U20110,94701002110,0,570,0,0,0,1010,400,11.2,30,0,0,0
U20111,94701002111,3,2,1,1,8,60,11,0.7,2,0,1,1
U20112,94701002112,0,1150,0,0,0,2200,870,38.1,120,0,0,0
U20113,94701002113,0,280,0,0,1,470,190,4.3,12,0,0,0
U20114,94701002114,1,11,1,1,5,190,24,2.1,5,1,0,1
U20115,94701002115,0,1350,0,0,0,2700,1000,50.8,140,0,0,0
U20116,94701002116,0,740,0,0,0,1270,480,15.5,39,0,0,0
U20117,94701002117,5,0,1,1,12,11,1,0.0,0,1,1,1
U20118,94701002118,0,990,0,0,1,1790,730,30.4,92,0,0,0
U20119,94701002119,0,440,0,0,0,810,310,8.0,22,0,0,0
U20120,94701002120,2,4,1,1,5,140,17,1.2,4,1,0,1
U20121,94701002121,0,1250,0,0,0,2400,850,36.5,112,0,0,0
U20122,94701002122,0,230,0,0,1,380,170,3.5,10,0,0,0
U20123,94701002123,3,3,1,1,9,55,11,0.5,2,0,1,1
U20124,94701002124,0,1550,0,0,0,3000,1120,58.7,155,0,0,0
U20125,94701002125,0,760,1,0,0,1380,520,18.1,45,0,0,0
U20126,94701002126,0,1030,0,0,1,1980,760,30.2,90,0,0,0
U20127,94701002127,2,6,1,1,4,210,34,2.3,7,1,0,1
U20128,94701002128,0,520,0,0,0,970,380,10.9,29,0,0,0
U20129,94701002129,0,1350,0,0,0,2550,910,43.5,128,0,0,0
U20130,94701002130,4,1,1,1,10,16,2,0.1,1,1,1,1
U20131,94701002131,0,1020,0,0,0,2020,780,32.2,100,0,0,0
U20132,94701002132,0,360,0,1,1,670,270,7.4,22,0,0,0
U20133,94701002133,2,8,1,0,3,240,45,3.3,11,1,0,1
U20134,94701002134,0,1700,0,0,0,3150,1220,66.1,170,0,0,0
U20135,94701002135,0,600,0,0,0,1050,430,12.1,32,0,0,0
U20136,94701002136,3,1,1,1,7,65,13,0.7,3,0,1,1
U20137,94701002137,0,1220,0,0,1,2250,890,40.1,124,0,0,0
U20138,94701002138,0,300,0,0,0,500,200,4.7,14,0,0,0
U20139,94701002139,1,13,1,1,5,215,27,2.4,5,1,0,1
U20140,94701002140,0,1400,0,0,0,2750,1010,53.2,145,0,0,0
U20141,94701002141,0,780,0,0,0,1300,500,16.2,41,0,0,0
U20142,94701002142,5,1,1,1,11,10,1,0.0,0,1,1,1
U20143,94701002143,0,1030,0,0,1,1800,740,32.1,95,0,0,0
U20144,94701002144,0,460,0,0,0,840,330,8.4,24,0,0,0
U20145,94701002145,2,3,1,1,4,155,20,1.4,4,1,0,1
U20146,94701002146,0,1300,0,0,0,2450,860,38.1,115,0,0,0
U20147,94701002147,0,250,0,0,1,400,180,3.9,11,0,0,0
U20148,94701002148,3,2,1,1,7,65,14,0.7,3,0,1,1
U20149,94701002149,0,1600,0,0,0,3050,1150,60.2,160,0,0,0
U20150,94701002150,0,740,1,0,0,1420,510,18.8,47,0,0,0
U20151,94701002151,0,1000,0,0,1,1900,740,30.5,90,0,0,0
U20152,94701002152,2,5,1,1,4,180,32,2.2,6,1,0,1
U20153,94701002153,0,440,0,0,0,900,340,10.1,25,0,0,0
U20154,94701002154,0,1300,0,0,0,2450,870,41.2,122,0,0,0
U20155,94701002155,4,1,1,1,9,16,2,0.1,1,1,1,1
U20156,94701002156,0,1020,0,0,0,2020,780,31.4,100,0,0,0
U20157,94701002157,0,350,0,1,1,620,240,6.5,18,0,0,0
U20158,94701002158,2,8,1,0,4,210,38,2.7,8,1,0,1
U20159,94701002159,0,1600,0,0,0,2900,1100,60.5,150,0,0,0
U20160,94701002160,0,550,0,0,0,1000,390,11.0,28,0,0,0
U20161,94701002161,3,2,1,1,7,55,10,0.6,2,0,1,1
U20162,94701002162,0,1100,0,0,0,2150,850,35.7,115,0,0,0
U20163,94701002163,0,270,0,0,1,450,180,4.1,11,0,0,0
U20164,94701002164,1,10,1,1,5,180,22,1.9,4,1,0,1
U20165,94701002165,0,1400,0,0,0,2700,980,50.1,135,0,0,0
U20166,94701002166,0,710,0,0,0,1240,470,14.8,37,0,0,0
U20167,94701002167,5,0,1,1,11,8,1,0.0,0,1,1,1
U20168,94701002168,0,970,0,0,1,1750,710,29.8,88,0,0,0
U20169,94701002169,0,410,0,0,0,780,300,7.8,21,0,0,0
U20170,94701002170,2,3,1,1,4,130,16,1.1,3,1,0,1
U20171,94701002171,0,1200,0,0,0,2300,830,35.0,110,0,0,0
U20172,94701002172,0,210,0,0,1,350,160,3.2,9,0,0,0
U20173,94701002173,3,2,1,1,8,48,10,0.5,2,0,1,1
U20174,94701002174,0,1500,0,0,0,2950,1080,57.4,152,0,0,0
U20175,94701002175,0,700,1,0,0,1320,490,17.1,41,0,0,0
U20176,94701002176,0,980,0,0,1,1850,720,29.4,86,0,0,0
U20177,94701002177,2,5,1,1,4,170,30,1.9,5,1,0,1
U20178,94701002178,0,400,0,0,0,880,330,9.6,23,0,0,0
U20179,94701002179,0,1300,0,0,0,2400,850,39.4,118,0,0,0
U20180,94701002180,4,1,1,1,10,14,2,0.1,1,1,1,1
U20181,94701002181,0,1000,0,0,0,1950,750,30.1,95,0,0,0
U20182,94701002182,0,320,0,1,1,600,220,6.2,16,0,0,0
U20183,94701002183,2,7,1,0,3,200,36,2.5,7,1,0,1
U20184,94701002184,0,1550,0,0,0,2850,1050,58.2,145,0,0,0
U20185,94701002185,0,510,0,0,0,940,370,10.5,27,0,0,0
U20186,94701002186,3,1,1,1,7,50,10,0.5,2,0,1,1
U20187,94701002187,0,1100,0,0,1,2100,820,34.1,112,0,0,0
U20188,94701002188,0,240,0,0,0,450,180,4.2,12,0,0,0
U20189,94701002189,1,11,1,1,4,195,24,2.1,4,1,0,1
U20190,94701002190,0,1350,0,0,0,2650,970,51.2,140,0,0,0
U20191,94701002191,0,740,0,0,0,1260,460,14.6,35,0,0,0
U20192,94701002192,5,0,1,1,12,6,1,0.0,0,1,1,1
U20193,94701002193,0,980,0,0,1,1750,710,28.7,88,0,0,0
U20194,94701002194,0,420,0,0,0,800,310,7.9,20,0,0,0
U20195,94701002195,2,4,1,1,4,145,18,1.2,3,1,0,1
U20196,94701002196,0,1250,0,0,0,2350,820,35.0,110,0,0,0
U20197,94701002197,0,220,0,0,1,360,165,3.4,10,0,0,0
U20198,94701002198,3,2,1,1,8,55,12,0.6,2,0,1,1
U20199,94701002199,0,1500,0,0,0,2900,1080,56.5,150,0,0,0
U20200,94701002200,0,680,1,0,0,1280,480,15.8,38,0,0,0
U20201,94701002201,0,940,0,0,1,1800,720,29.1,90,0,0,0
U20202,94701002202,2,6,1,1,5,160,28,2.0,5,1,0,1
U20203,94701002203,0,410,0,0,0,840,320,8.8,22,0,0,0
U20204,94701002204,0,1200,0,0,0,2350,840,38.1,114,0,0,0
U20205,94701002205,4,1,1,1,9,14,2,0.1,1,1,1,1
U20206,94701002206,0,980,0,0,0,1900,750,30.0,94,0,0,0
U20207,94701002207,0,320,0,1,1,600,230,6.3,18,0,0,0
U20208,94701002208,2,7,1,0,4,180,35,2.4,8,1,0,1
U20209,94701002209,0,1450,0,0,0,2700,1010,54.1,142,0,0,0
U20210,94701002210,0,510,0,0,0,920,360,10.2,26,0,0,0
U20211,94701002211,3,2,1,1,7,45,10,0.5,2,0,1,1
U20212,94701002212,0,1050,0,0,0,2050,810,33.5,105,0,0,0
U20213,94701002213,0,240,0,0,1,420,175,4.0,11,0,0,0
U20214,94701002214,1,9,1,1,4,165,22,1.8,4,1,0,1
U20215,94701002215,0,1300,0,0,0,2550,960,48.2,135,0,0,0
U20216,94701002216,0,690,0,0,0,1180,450,14.1,34,0,0,0
U20217,94701002217,5,0,1,1,11,7,1,0.0,0,1,1,1
U20218,94701002218,0,940,0,0,1,1700,700,27.5,85,0,0,0
U20219,94701002219,0,390,0,0,0,760,290,7.4,20,0,0,0
U20220,94701002220,2,3,1,1,4,120,15,1.1,3,1,0,1
U20221,94701002221,0,1150,0,0,0,2250,810,34.0,105,0,0,0
U20222,94701002222,0,200,0,0,1,340,155,3.1,8,0,0,0
U20223,94701002223,3,1,1,1,8,40,9,0.4,2,0,1,1
U20224,94701002224,0,1400,0,0,0,2850,1040,54.2,145,0,0,0
U20225,94701002225,0,670,1,0,0,1270,475,16.5,40,0,0,0
U20226,94701002226,0,920,0,0,1,1750,710,28.2,88,0,0,0
U20227,94701002227,2,4,1,1,5,150,27,1.8,5,1,0,1
U20228,94701002228,0,390,0,0,0,800,310,8.5,21,0,0,0
U20229,94701002229,0,1150,0,0,0,2200,810,36.5,108,0,0,0
U20230,94701002230,4,1,1,1,10,12,1,0.0,0,1,1,1
U20231,94701002231,0,920,0,0,0,1850,720,28.4,90,0,0,0
U20232,94701002232,0,290,0,1,1,580,220,6.0,15,0,0,0
U20233,94701002233,2,6,1,0,4,190,34,2.3,7,1,0,1
U20234,94701002234,0,1450,0,0,0,2750,1000,55.0,140,0,0,0
U20235,94701002235,0,480,0,0,0,900,350,10.2,25,0,0,0
U20236,94701002236,3,1,1,1,7,45,10,0.5,2,0,1,1
U20237,94701002237,0,1050,0,0,1,2000,790,32.4,104,0,0,0
U20238,94701002238,0,220,0,0,0,420,175,3.9,11,0,0,0
U20239,94701002239,1,10,1,1,5,185,25,2.0,4,1,0,1
U20240,94701002240,0,1300,0,0,0,2500,940,49.2,135,0,0,0
U20241,94701002241,0,720,0,0,0,1220,440,14.1,34,0,0,0
U20242,94701002242,5,0,1,1,11,6,1,0.0,0,1,1,1
U20243,94701002243,0,950,0,0,1,1700,690,27.9,85,0,0,0
U20244,94701002244,0,400,0,0,0,780,300,7.6,20,0,0,0
U20245,94701002245,2,4,1,1,4,140,17,1.2,3,1,0,1
U20246,94701002246,0,1200,0,0,0,2250,810,34.0,105,0,0,0
U20247,94701002247,0,210,0,0,1,350,160,3.2,9,0,0,0
U20248,94701002248,3,2,1,1,8,50,11,0.6,2,0,1,1
U20249,94701002249,0,1500,0,0,0,2900,1050,56.1,150,0,0,0
U20250,94701002250,0,670,1,0,0,1250,470,15.6,38,0,0,0
U20251,94701002251,0,900,0,0,1,1750,700,28.4,88,0,0,0
U20252,94701002252,2,5,1,1,5,155,26,1.9,5,1,0,1
U20253,94701002253,0,400,0,0,0,820,310,8.5,21,0,0,0
U20254,94701002254,0,1150,0,0,0,2300,810,36.5,108,0,0,0
U20255,94701002255,4,1,1,1,9,14,2,0.1,1,1,1,1
U20256,94701002256,0,950,0,0,0,1850,740,29.1,92,0,0,0
U20257,94701002257,0,310,0,1,1,580,220,6.0,16,0,0,0
U20258,94701002258,2,7,1,0,3,190,34,2.3,7,1,0,1
U20259,94701002259,0,1400,0,0,0,2600,980,51.8,138,0,0,0
U20260,94701002260,0,500,0,0,0,910,355,10.1,25,0,0,0
U20261,94701002261,3,1,1,1,7,48,9,0.5,2,0,1,1
U20262,94701002262,0,1050,0,0,1,2050,790,33.1,105,0,0,0
U20263,94701002263,0,230,0,0,0,420,170,3.9,11,0,0,0
U20264,94701002264,1,9,1,1,4,170,23,1.9,4,1,0,1
U20265,94701002265,0,1250,0,0,0,2400,910,45.7,130,0,0,0
U20266,94701002266,0,670,0,0,0,1150,430,13.8,32,0,0,0
U20267,94701002267,5,0,1,1,10,6,1,0.0,0,1,1,1
U20268,94701002268,0,910,0,0,1,1650,680,26.5,82,0,0,0
U20269,94701002269,0,380,0,0,0,730,280,7.1,19,0,0,0
U20270,94701002270,2,3,1,1,4,115,14,1.0,3,1,0,1
U20271,94701002271,0,1100,0,0,0,2150,780,32.2,100,0,0,0
U20272,94701002272,0,200,0,0,1,330,150,3.0,8,0,0,0
U20273,94701002273,3,1,1,1,8,38,8,0.4,2,0,1,1
U20274,94701002274,0,1350,0,0,0,2700,1000,52.4,140,0,0,0
U20275,94701002275,0,640,1,0,0,1220,460,15.8,38,0,0,0
U20276,94701002276,0,890,0,0,1,1700,690,27.1,85,0,0,0
U20277,94701002277,2,4,1,1,5,145,26,1.7,4,1,0,1
U20278,94701002278,0,380,0,0,0,780,300,8.2,20,0,0,0
U20279,94701002279,0,1100,0,0,0,2150,790,34.1,104,0,0,0
U20280,94701002280,4,1,1,1,10,11,1,0.0,0,1,1,1
U20281,94701002281,0,900,0,0,0,1800,700,27.5,85,0,0,0
U20282,94701002282,0,280,0,1,1,560,210,5.8,15,0,0,0
U20283,94701002283,2,6,1,0,4,185,32,2.2,6,1,0,1
U20284,94701002284,0,1400,0,0,0,2650,960,51.2,135,0,0,0
U20285,94701002285,0,470,0,0,0,880,340,9.9,24,0,0,0
U20286,94701002286,3,1,1,1,7,42,10,0.5,2,0,1,1
U20287,94701002287,0,1000,0,0,1,1950,770,31.5,100,0,0,0
U20288,94701002288,0,210,0,0,0,410,170,3.7,11,0,0,0
U20289,94701002289,1,10,1,1,5,175,24,1.9,4,1,0,1
U20290,94701002290,0,1250,0,0,0,2400,900,45.7,130,0,0,0
U20291,94701002291,0,700,0,0,0,1200,430,13.2,32,0,0,0
U20292,94701002292,5,0,1,1,11,6,1,0.0,0,1,1,1
U20293,94701002293,0,920,0,0,1,1650,680,26.7,82,0,0,0
U20294,94701002294,0,390,0,0,0,750,290,7.2,19,0,0,0
U20295,94701002295,2,4,1,1,4,135,16,1.1,3,1,0,1
U20296,94701002296,0,1150,0,0,0,2250,800,32.8,102,0,0,0
U20297,94701002297,0,210,0,0,1,350,160,3.2,9,0,0,0
U20298,94701002298,3,2,1,1,8,52,11,0.6,2,0,1,1
U20299,94701002299,0,1450,0,0,0,2800,1020,54.1,142,0,0,0
U20300,94701002300,0,660,1,0,0,1220,460,15.2,36,0,0,0
U20301,94701002301,0,910,0,0,1,1750,710,28.4,88,0,0,0
U20302,94701002302,2,5,1,1,5,155,27,1.9,5,1,0,1
U20303,94701002303,0,400,0,0,0,820,310,8.5,21,0,0,0
U20304,94701002304,0,1150,0,0,0,2250,820,36.5,110,0,0,0
U20305,94701002305,4,1,1,1,9,14,2,0.1,1,1,1,1
U20306,94701002306,0,960,0,0,0,1850,730,28.7,90,0,0,0
U20307,94701002307,0,300,0,1,1,570,210,5.9,15,0,0,0
U20308,94701002308,2,7,1,0,3,185,34,2.3,7,1,0,1
U20309,94701002309,0,1350,0,0,0,2550,960,50.1,135,0,0,0
U20310,94701002310,0,490,0,0,0,890,345,9.8,24,0,0,0
U20311,94701002311,3,1,1,1,7,45,9,0.5,2,0,1,1
U20312,94701002312,0,1020,0,0,1,2000,770,32.2,100,0,0,0
U20313,94701002313,0,220,0,0,0,410,165,3.8,11,0,0,0
U20314,94701002314,1,9,1,1,4,165,22,1.8,4,1,0,1
U20315,94701002315,0,1220,0,0,0,2350,890,44.2,127,0,0,0
U20316,94701002316,0,650,0,0,0,1120,420,13.5,31,0,0,0
U20317,94701002317,5,0,1,1,10,6,1,0.0,0,1,1,1
U20318,94701002318,0,890,0,0,1,1620,670,25.9,80,0,0,0
U20319,94701002319,0,370,0,0,0,710,275,6.9,18,0,0,0
U20320,94701002320,2,3,1,1,4,110,14,1.0,3,1,0,1
U20321,94701002321,0,1050,0,0,0,2100,760,31.2,98,0,0,0
U20322,94701002322,0,190,0,0,1,320,145,2.9,8,0,0,0
U20323,94701002323,3,1,1,1,8,35,8,0.4,2,0,1,1
U20324,94701002324,0,1300,0,0,0,2650,980,51.1,135,0,0,0
U20325,94701002325,0,620,1,0,0,1180,450,15.2,36,0,0,0
U20326,94701002326,0,860,0,0,1,1650,680,26.4,82,0,0,0
U20327,94701002327,2,4,1,1,5,140,25,1.7,4,1,0,1
U20328,94701002328,0,360,0,0,0,750,290,7.9,19,0,0,0
U20329,94701002329,0,1050,0,0,0,2100,770,33.1,102,0,0,0
U20330,94701002330,4,1,1,1,10,10,1,0.0,0,1,1,1
U20331,94701002331,0,880,0,0,0,1750,690,26.7,82,0,0,0
U20332,94701002332,0,270,0,1,1,540,205,5.6,14,0,0,0
U20333,94701002333,2,6,1,0,4,180,31,2.1,6,1,0,1
U20334,94701002334,0,1350,0,0,0,2600,940,49.8,130,0,0,0
U20335,94701002335,0,450,0,0,0,860,330,9.6,23,0,0,0
U20336,94701002336,3,1,1,1,7,40,9,0.5,2,0,1,1
U20337,94701002337,0,980,0,0,1,1900,750,30.7,98,0,0,0
U20338,94701002338,0,200,0,0,0,400,165,3.6,10,0,0,0
U20339,94701002339,1,9,1,1,5,170,23,1.8,4,1,0,1
U20340,94701002340,0,1220,0,0,0,2350,880,44.2,127,0,0,0
U20341,94701002341,0,680,0,0,0,1180,420,12.8,31,0,0,0
U20342,94701002342,5,0,1,1,11,6,1,0.0,0,1,1,1
U20343,94701002343,0,900,0,0,1,1620,660,25.9,80,0,0,0
U20344,94701002344,0,380,0,0,0,730,285,7.0,18,0,0,0
U20345,94701002345,2,3,1,1,4,130,16,1.0,3,1,0,1
U20346,94701002346,0,1100,0,0,0,2200,780,32.2,100,0,0,0
U20347,94701002347,0,200,0,0,1,340,155,3.1,8,0,0,0
U20348,94701002348,3,2,1,1,8,50,11,0.6,2,0,1,1
U20349,94701002349,0,1400,0,0,0,2750,1000,52.4,140,0,0,0
U20350,94701002350,0,640,1,0,0,1200,450,15.0,36,0,0,0
U20351,94701002351,0,890,0,0,1,1700,690,27.1,85,0,0,0
U20352,94701002352,2,5,1,1,5,150,26,1.8,4,1,0,1
U20353,94701002353,0,390,0,0,0,800,300,8.2,20,0,0,0
U20354,94701002354,0,1100,0,0,0,2100,790,34.1,104,0,0,0
U20355,94701002355,4,1,1,1,10,11,1,0.0,0,1,1,1
U20356,94701002356,0,900,0,0,0,1800,700,27.5,85,0,0,0
U20357,94701002357,0,280,0,1,1,560,210,5.8,15,0,0,0
U20358,94701002358,2,6,1,0,4,185,32,2.2,6,1,0,1
U20359,94701002359,0,1400,0,0,0,2650,960,51.2,135,0,0,0
U20360,94701002360,0,470,0,0,0,880,340,9.9,24,0,0,0
U20361,94701002361,3,1,1,1,7,42,10,0.5,2,0,1,1
U20362,94701002362,0,1000,0,0,1,1950,770,31.5,100,0,0,0
U20363,94701002363,0,210,0,0,0,410,170,3.7,11,0,0,0
U20364,94701002364,1,10,1,1,5,175,24,1.9,4,1,0,1
U20365,94701002365,0,1250,0,0,0,2400,900,45.7,130,0,0,0
U20366,94701002366,0,700,0,0,0,1200,430,13.2,32,0,0,0
U20367,94701002367,5,0,1,1,11,6,1,0.0,0,1,1,1
U20368,94701002368,0,920,0,0,1,1650,680,26.7,82,0,0,0
U20369,94701002369,0,390,0,0,0,750,290,7.2,19,0,0,0
U20370,94701002370,2,4,1,1,4,135,16,1.1,3,1,0,1
U20371,94701002371,0,1150,0,0,0,2250,800,32.8,102,0,0,0
U20372,94701002372,0,210,0,0,1,350,160,3.2,9,0,0,0
U20373,94701002373,3,2,1,1,8,52,11,0.6,2,0,1,1
U20374,94701002374,0,1450,0,0,0,2800,1020,54.1,142,0,0,0
U20375,94701002375,0,660,1,0,0,1220,460,15.2,36,0,0,0
U20376,94701002376,0,910,0,0,1,1750,710,28.4,88,0,0,0
U20377,94701002377,2,5,1,1,5,155,27,1.9,5,1,0,1
U20378,94701002378,0,400,0,0,0,820,310,8.5,21,0,0,0
U20379,94701002379,0,1150,0,0,0,2250,820,36.5,110,0,0,0
U20380,94701002380,4,1,1,1,9,14,2,0.1,1,1,1,1
U20381,94701002381,0,960,0,0,0,1850,730,28.7,90,0,0,0
U20382,94701002382,0,300,0,1,1,570,210,5.9,15,0,0,0
U20383,94701002383,2,7,1,0,3,185,34,2.3,7,1,0,1
